dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr
10038730,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038730,M046157,,Elliot Creek,49.61983,-120.78679,NA,Canada,British Columbia,,M,Gold,,Platinum,Unknown,Placer,S,Past Producer,,,,,,,,,Boulder Creek,,"Blair, Will N.",,,,,,,"RICE, 1947, GEOL. AND MINERAL DEPOSITS PRINCETON AREA, B. C. : CANADA DEPT. MINES MEM. 243, P. 63",,,,,,,,
10038731,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038731,M046158,,General Princeton Area,49.49983,-120.50122,NA,Canada,British Columbia,,M,"Gold, Platinum",,,Unknown,,Y,Past Producer,,,,,,,,,,,"Blair, Will N.",,,,,,,"RICE, 1947, GEOL. AND MINERAL DEPOSITS PRINCETON AREA, B. C. : CANADA DEPT. MINES MEM. 243, P. 57 - 58",,,,,,,1887 - 1905,
10038732,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038732,M046159,,Moresby Island,52.7136,-132.00166,NA,Canada,British Columbia,,M,Copper,"Gold, Silver","Platinum, Palladium",Unknown,,S,Past Producer,"Bornite, Chalcopyrite",,,,,,,,,,"Blair, Will N.",,,,,,,"O'NEILL AND GUNNING, 1934, PT DEPOSITS IN CANADA: CANADA GEOLOGICAL SURVEY ECON. GEOL. REPT. 13, P. 10",,,,,,,,
10038733,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038733,M046160,,Scottie Creek,50.94983,-121.40128,NA,Canada,British Columbia,,M,,,"Gold, Platinum",Unknown,Placer,N,Occurrence,,,,,,,,,,,"Blair, Will N.",,,,,,,"THOMLINSON, W., 1920, PT LODE SAMPLES IN B. C. : MUNITION RES. CANADA FINAL REPORT, TORONTO, P. 161 - 182.O'NEILL AND GUNNING, 1934, PT DEPOSITS IN CANADA: CANADA GEOLOGICAL SURVEY ECON. REPORT 13, P. 87",,,,,,,,
10038735,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038735,M046162,,Mount Ida,50.66652,-119.24426,NA,Canada,British Columbia,,M,,,"Platinum, Gold",Unknown,,N,Occurrence,"Chalcopyrite, Galena, Pyrite, Sphalerite",,,VEIN,,,,,Mountain View Claim,Shear Zone,"Blair, Will N.",,,,,,,"O'NEILL AND GUNNING, 1934, PT DEPOSITS IN CANADA: CANADA GEOLOGICAL SURVEY ECON. GEOL. REPT. 13, P. 10",,,,,,,,
10038736,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038736,M046163,,Similco Mine,49.32955,-120.46399,NA,Canada,British Columbia,,M,"Copper, Gold, Silver, Platinum",,,Unknown,,L,Producer,"Bornite, Chalcocite, Chalcopyrite, Sperrylite","Biotite, Fluorite, Magnetite, Scapolite",,,,53: Porphyry Cu,"Potassic Alteration, Propylitic Alteration. See Geology Comments.",Primary Sulfide Mineralization Extends To The Present Surface And Oxidation Is Limited To The Upper 15 Meters Of Fault And Fracture Zones. No Secondary Enrichment Has Taken Place Since Pleistocene Glaciation.,"Sunset Claim, Copper Mountain",Fine Grained Bedded Tuffs Are The Most Favorable Host Rock Because Of Their Propensity For Brittle Fracture. The Lost Horse Intrusive Is Considered To Have Been More Important In Localizing The Orebodies Than The Copper Mountain Stock.,"Phinisey, J. D. (Marcus, S.), Blair, Will N.",Nicola Group;Nicola Group;Nicola Group;Nicola Group;Nicola Group,Basalt,Copper Mountain Stock;Lost Horse Complex;Copper Mountain Stock;Copper Mountain Stock;Copper Mountain Stock;Lost Horse Complex,Diorite,"North-Trending High Angle Faults Form An Ancient Long-Lived Rift System, The Nicola Basin, That Extends From The U.S. Border To At Least 160 Km North., Copper Mountain Is Dominated By Strong Easterly And Northwesterly Faulting. Folding Is Minor And Units Are Mostly Flat Lying Or Very Gently Dipping.",Back Arc Basin,"FAHRNI, K.C., ET AL, 1976, COPPER MOUNTAIN AND INGERBELLE, IN BROWN, A., ED., PORPHYRY DEPOSITS OF THE CANADIAN CORDILLERA, CANADIAN INSTITUTE OF MINING AND METALLURGY, SPECIAL VOLUME 15, P. 368-375.GEORGE CROSS NEWSLETTER, 8/1/90.BRITISH COLUMBIA DEPARTMENT OF MINES AND PETROLEUM RESOURCES BULLETIN 59.O'NEILL AND GUNNING, 1934, PLATINUM DEPOSITS IN CANADA: CANADA GEOLOGICAL SURVEY ECON. GEOL. REPT. 13, P. 103.",,1900,,,,1884,1900-1923 (SPORADIC); 1925-1930; 1937-1957; 1989-PRESENT (5/92),"Mr. Jameson, A Trapper."
10038737,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038737,M046164,,Nickel Plate Mine,49.34816,-120.03731,NA,Canada,British Columbia,,M,Gold,,Platinum,Unknown,,S,Past Producer,,,,,,,,,,,"Blair, Will N.",,,,,,,"O'NEILL AND GUNNING, 1934, PT DEPOSITS IN CANADA: CANADA GEOLOGICAL SURVEY ECON. GEOL. REPT. 13, P. 10",,,,,,,,
10038738,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038738,M046166,,Mother Lode Claim,49.1123,-118.7188,NA,Canada,British Columbia,,M,"Silver, Gold",Copper,Platinum,Unknown,,S,Past Producer,"Chalcopyrite, Galena, Molybdenite, Pyrite, Sphalerite",,,,,,,,,,"Blair, Will N.",,Schist,,,,,"O'NEILL AND GUNNING, 1934, PT DEPOSITS IN CANADA: CANADA GEOLOGICAL SURVEY ECON. GEOL. REPT. 13, P. 104ANNUAL REPT. B. C. DEPT. MINE FOR 1917, P. 201British Columbia Minfile database, 2009, Minfile record number 082ESE034.",,,,,,,1901 - 1918,
10038739,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038739,M046168,,Tulameen River,49.4665,-120.50122,NA,Canada,British Columbia,,M,"Gold, Platinum",,,Unknown,Placer,Y,Past Producer,Magnetite,,,STREAM GRAVELS,,,,,Tulameen Area,,"Blair, Will N.",,,,,,,"O'NEILL AND GUNNING, 1934, PT DEPOSITS IN CANADA: CANADA GEOLOGICAL SURVEY ECON. GEOL. REPT. 13, P. 94, 98HOLLAND, 1950, PLACER GOLD IN B. C. : B. C. DEPT. MINES BULL. 28, P. 54O'NEILL & GUNNING P. 95",,,,,,,,
10038740,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038740,M046170,,"Kettle River, West Branch North Fork.",49.06095,-118.93171,NA,Canada,British Columbia,,M,,,Platinum,Unknown,Placer,N,Occurrence,,,,STREAM GRAVELS,,,,,,,"Blair, Will N.",,,,,,,"O'NEILL AND GUNNING, 1934 PT DEPOSITS IN CANADA: CANADA GEOLOGICAL SURVEY ECON. GEOL. REPT. 13, P. 99HOLLAND, 1950, PLACER GOLD IN B. C. : B. C. DEPT. MINES BULL. 28, P. 36",,,,,,,,
10038741,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038741,M046171,,North Thompson River,51.63318,-120.06793,NA,Canada,British Columbia,,M,Gold,,Platinum,Unknown,Placer,Y,Past Producer,,,,STREAM GRAVELS,,,,,,,"Blair, Will N.",,,,,,,"O'NEILL AND GUNNING, 1934, PT DEPOSITS IN CANADA: CANADA GEOLOGICAL SURVEY ECON. GEOL. REPT. 13, P. 87HOLLAND, 1950, PLACER GOLD IN B. C. : B. C. DEPT. MINES BULL. 28, P. 38",,,,,,,,
10038742,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038742,M046173,,Sowaqua Creek,49.41649,-121.23457,NA,Canada,British Columbia,,M,Gold,Silver,Platinum,Unknown,Placer,Y,Past Producer,,,,STREAM GRAVEL,,,,,,,"Blair, Will N.",,,,,,,"O'NEILL AND GUNNING, 1934, PT DEPOSITS IN CANADA: CANADA GEOLOGICAL SURVEY ECON. GEOL. REPT. 13, P. 88HOLLAND, 1950, PLACER GOLD IN B. C. : B. C. DEPT. MINES BULL. 28, P. 42",,,,,,,,
10038743,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038743,M046174,,Peace River,56.14987,-122.56816,NA,Canada,British Columbia,,M,Gold,,Platinum,Unknown,Placer,Y,Past Producer,,,,STREAM GRAVELS,,,,,"Gold Bar, Branham Flat",,"Blair, Will N.",,,,,,,"O'NEILL AND GUNNING, 1934, PT DEPOSITS IN CANADA: CANADA GEOLOGICAL SURVEY ECON. GEOL. REPT. 13, P. 83HOLLAND, 1950, PLACER GOLD IN B. C. : B. C. DEPT. MINES BULL. 28, P. 47HOLLAND 1950",,,,,,,"1881 - 1885, 1926 - 1945",
10038744,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038744,M046175,,Lawless Creek,49.54372,-120.85817,NA,Canada,British Columbia,,M,,Gold,Platinum,Unknown,Placer,N,Prospect,,,,STREAM GRAVELS,,,,,,,"Blair, Will N.",,,,,,,"RICE, 1947, GEOLOGY AND MINERAL DEPOSITS OF PRINCETON, B. C. : CANADA DEPT. MINES MEM. 243, P. 63HOLLAND, 1950, PLACER GOLD IN B. C. : B. C. DEPT. MINES BULL. 28, P. 55",,,,,,,,
10038745,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038745,M046177,,Champion Creek,49.9165,-120.48456,NA,Canada,British Columbia,,M,,,"Gold, Platinum",Unknown,Placer,N,Prospect,,,,STREAM GRAVELS,,,,,,,"Blair, Will N.",,,,,,,"RICE, 1947, GEOL. AND MINERAL DEPOSITS PRINCETON AREA B. C. : CANADA DEPT. MINES MEM. 243, P. 63",,,,,,,,
10038746,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038746,M046179,,Spruce Creek,59.55257,-133.50205,NA,Canada,British Columbia,,M,Gold,,"Iridium, Osmium",Unknown,Placer,Y,Producer,"Gold, Iridosmine",,,,,,,Pt Metals Probably From Alpine Peridotites,"Tax Lease, Dream Lease, Lassie Creek Lease, St. Quentin Lease, Jewel Lease, Lynx Lease, Hard Scrabble Lease, Gladstone Lease, Peterboro Lease, Olalla Lease, Hope Fraction, Poker Lease, Joker Lease, Croker Lease, Bratt, Morse and Co., Wolf Lease, Clydesdale Lease, Colpe Mining Co., Ltd.","River Grade About 3%, Red Clays Have Higher Grade","Page, Norman J.",,"Greenstone,Gravel",,,,,"HARRIS AND CABRI, 1973, CAN. MINERAL., V. 12, P. 104 - 112AITKEN, J. D., 1959, GEOL. SURV. CANADA MEM. 307, P. 74 - 75MANDY, J. T., 1936, B. C. REPT. TO MINISTER OF MINES, P. B39 - B56",,1898,,,,1898,,Fred Marius
10038747,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038747,M046180,,Discovery,59.59118,-133.56538,NA,Canada,British Columbia,,M,Gold,,"Iridium, Osmium",Unknown,Placer,Y,Past Producer,,,,,,,,Pt Metal Source Probably Alpine Peridotites,Pine Creek,Has Pre And Post Glacial Channels,"Page, Norman J.",,Gravel,,Greenstone,,,"HARRIS AND CABRI, 1973, CAN. MINERAL., V. 12, P. 104 - 112AITKEN, J. D., 1959, GEOL. SURV. CANADA MEM. 307MANDY, J. T., 1936, B. C. REPT. TO MINISTER OF MINES, P. B39 - B56",,1898,,,,1897,,Miller
10038748,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10038748,M046181,,Pacific Nickel Mines,49.4376,-121.31791,NA,Canada,British Columbia,,M,Nickel,"Platinum, Copper",,Unknown,,Y,Producer,"Chalcopyrite, Pentlandite, Pyrrhotite",,,PARSNIP - SHAPED,,,,,,,"Blair, Will N.",,,,,,,"MERTIE, 1969, ECON. GEOL. PT: US GEOLOGICAL SURVEY PROF. PAPER 630, P. 28AHO, 1956, GEOL. NI - CU PAC. NICKEL PROPERTY, B. C. : ECON. GEOL. V. 51, P.MERTIE 1969",,,,,,,,
